ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.02,6000,30,4.28E-12
0.02,25000,80,1.41E-12
0.02,1400,40,2.29E-13
0.02,7000,0,6.34E-12
0.02,800,40,1.87E-14
0.02,1000,80,3.45E-14
0.02,1300,30,1.94E-13
0.02,7000,70,1.75E-12
0.02,1200,70,7.99E-14
0.02,10000,10,2.11E-12
0.02,17500,20,3.96E-12
1,4000,80,4.19E-20
1,300,10,0
1,200,50,3.02E-22
1,9000,70,3.71E-19
1,20000,80,7.23E-20
1,600,90,1.59E-21
1,3000,30,0
1,12500,20,3.98E-18
1,15000,10,2.94E-18
1,500,20,0
1,400,60,1.36E-21
1,1900,20,0
1,2000,70,1.50E-20
1,1800,60,1.66E-20
1,8000,30,3.94E-19
1,900,30,0
1,800,70,3.91E-21
1,1500,30,0
1,17500,0,1.13E-18
1,22500,80,2.28E-20
1,1400,70,8.99E-21
1,1000,0,0
1,10000,20,8.77E-19
1,1600,80,8.39E-21
1,17500,10,1.00E-18
1,300,0,0
1,7000,40,2.63E-19
1,1200,40,8.69E-22
1,2000,20,0
1,1900,70,1.40E-20
1,1400,0,0
1,8000,60,2.92E-19
1,1800,30,0
1,500,70,1.81E-21
1,15000,40,1.12E-18
1,12500,70,1.37E-18
1,400,30,0
1,700,0,0
1,5000,90,6.40E-20
1,700,80,2.30E-21
1,9000,20,4.50E-19
1,30000,50,5.17E-22
1,10000,0,4.08E-21
1,3000,60,4.12E-20
1,300,40,0
1,1300,50,6.15E-21
1,1200,10,0
1,7000,10,0
1,1700,90,9.15E-21
1,17500,40,3.70E-19
1,10000,70,5.17E-19
1,1500,60,1.23E-20
1,6000,50,2.06E-19
1,1400,20,0
1,900,60,4.85E-21
1,800,20,0
1,1600,20,0
1,10000,80,4.83E-19
1,1700,60,1.52E-20
1,1000,10,0
1,1100,50,4.34E-21
1,900,90,3.17E-21
1,22500,20,7.66E-20
1,25000,10,3.18E-20
1,35800,0,2.71E-22
1,1500,90,7.31E-21
1,2500,50,2.19E-20
1,35800,40,5.28E-23
1,5000,60,9.64E-20
1,500,80,1.31E-21
1,12500,80,1.30E-18
1,8000,90,2.27E-19
1,1900,80,1.12E-20
1,4000,20,0
1,3000,90,2.36E-20
1,600,30,0
1,700,70,3.24E-21
1,20000,20,2.40E-19
1,27500,10,7.93E-21
1,25000,40,1.04E-20
1,22500,70,2.40E-20
1,1400,80,6.99E-21
1,3000,0,0
1,800,80,2.78E-21
1,1000,40,1.69E-22
1,1600,70,1.08E-20
1,1700,30,0
1,1800,0,0
1,600,60,2.41E-21
1,27500,40,2.60E-21
1,9000,80,3.46E-19
1,700,20,0
1,20000,70,7.60E-20
1,4000,70,4.76E-20
1,1800,90,1.00E-20
1,2000,80,1.23E-20
1,5000,30,3.21E-20
1,35800,10,2.05E-22
1,400,90,9.64E-22
1,22500,0,1.19E-19
1,1800,20,0
1,8000,70,2.50E-19
1,1900,60,1.81E-20
1,2000,30,0
1,5000,80,6.61E-20
1,400,20,0
1,12500,60,1.50E-18
1,500,60,1.92E-21
1,15000,50,9.04E-19
1,3000,70,2.86E-20
1,30000,40,6.33E-22
1,9000,30,6.38E-19
1,700,90,2.06E-21
1,200,10,0
1,300,50,4.89E-22
1,1300,40,1.36E-21
1,10000,60,5.79E-19
1,17500,50,3.00E-19
1,1700,80,9.47E-21
1,1400,30,0
1,6000,40,1.52E-19
1,1500,70,9.93E-21
1,800,30,0
1,900,70,4.68E-21
1,200,40,0
1,800,0,0
1,4000,90,4.05E-20
1,3000,20,0
1,600,80,1.67E-21
1,20000,90,7.11E-20
1,9000,60,4.22E-19
1,30000,10,1.79E-21
1,400,70,1.36E-21
1,500,30,0
1,12500,30,3.07E-18
1,8000,20,1.17E-19
1,1800,70,1.28E-20
1,2000,60,1.99E-20
1,1900,30,0
1,800,60,3.82E-21
1,900,20,0
1,1400,60,1.09E-20
1,22500,90,2.24E-20
1,1500,20,0
1,6000,10,0
1,1600,90,8.18E-21
1,10000,30,1.03E-18
1,1200,50,5.25E-21
1,25000,0,3.50E-20
1,7000,50,2.91E-19
1,1300,10,0
1,1400,90,6.56E-21
1,22500,60,2.62E-20
1,25000,50,8.55E-21
1,1100,10,0
1,1000,50,3.54E-21
1,800,90,2.59E-21
1,1700,20,0
1,1600,60,1.34E-20
1,700,30,0
1,20000,60,8.30E-20
1,9000,90,3.38E-19
1,27500,50,2.13E-21
1,1300,0,0
1,600,70,2.42E-21
1,4000,60,6.74E-20
1,2000,90,1.17E-20
1,1800,80,1.04E-20
1,2500,10,0
1,400,80,9.90E-22
1,5000,20,0
1,1700,70,1.17E-20
1,10000,90,4.75E-19
1,1600,30,0
1,900,80,3.34E-21
1,1700,0,0
1,1100,40,4.46E-22
1,400,0,0
1,1500,80,7.56E-21
1,22500,30,5.06E-20
1,2000,0,0
1,12500,90,1.28E-18
1,500,90,1.25E-21
1,5000,70,7.34E-20
1,35800,50,4.42E-23
1,2500,40,1.51E-20
1,1900,90,1.09E-20
1,8000,80,2.35E-19
1,4000,30,1.55E-21
1,700,60,3.07E-21
1,20000,30,1.62E-19
1,600,20,0
1,3000,80,2.44E-20
1,1300,80,6.14E-21
1,4000,0,0
1,1700,40,4.29E-21
1,17500,90,2.24E-19
1,6000,80,1.02E-19
1,1900,0,0
1,25000,30,1.43E-20
1,12500,0,5.11E-18
1,1100,70,6.23E-21
1,1000,30,0
1,15000,90,6.73E-19
1,35800,60,3.88E-23
1,5000,40,8.76E-20
1,2500,70,2.16E-20
1,30000,80,3.94E-22
1,27500,30,3.54E-21
1,700,50,1.81E-21
1,600,10,0
1,300,90,6.99E-22
1,1100,20,0
1,30000,0,2.01E-21
1,1000,60,5.85E-21
1,22500,50,2.99E-20
1,25000,60,7.50E-21
1,1700,10,0
1,1600,50,9.05E-21
1,1200,90,5.12E-21
1,7000,90,1.49E-19
1,15000,0,3.25E-18
1,4000,50,6.31E-20
1,200,80,5.83E-22
1,20000,50,9.50E-20
1,27500,60,1.87E-21
1,9000,0,0
1,600,40,0
1,2500,20,0
1,5000,10,0
1,35800,30,6.87E-23
1,3000,10,0
1,600,0,0
1,9000,50,5.43E-19
1,30000,20,1.32E-21
1,27500,90,1.60E-21
1,200,70,7.73E-22
1,1500,0,0
1,300,30,0
1,8000,10,0
1,1800,40,5.50E-21
1,2000,50,1.37E-20
1,400,40,0
1,15000,30,1.55E-18
1,1400,50,6.85E-21
1,25000,90,6.42E-21
1,1500,10,0
1,6000,20,4.61E-23
1,1000,90,3.78E-21
1,800,50,2.35E-21
1,900,10,0
1,1200,60,8.20E-21
1,7000,60,1.97E-19
1,1300,20,0
1,17500,30,5.12E-19
1,35800,90,3.45E-23
1,400,10,0
1,2500,80,1.77E-20
1,12500,50,1.74E-18
1,500,50,1.03E-21
1,15000,60,7.87E-19
1,1800,10,0
1,8000,40,4.72E-19
1,1900,50,1.26E-20
1,200,20,0
1,300,60,1.07E-21
1,3000,40,2.38E-20
1,30000,70,4.14E-22
1,10000,50,7.15E-19
1,17500,60,2.62E-19
1,7000,30,2.15E-19
1,1200,30,0
1,1300,70,7.87E-21
1,6000,0,0
1,900,40,5.01E-23
1,1100,80,4.65E-21
1,200,0,0
1,6000,70,1.12E-19
1,1100,0,0
1,1500,40,2.58E-21
1,1000,70,5.45E-21
1,1100,30,0
1,25000,70,6.86E-21
1,22500,40,3.66E-20
1,1600,40,3.35E-21
1,500,0,0
1,7000,80,1.53E-19
1,1200,80,5.34E-21
1,1600,0,0
1,5000,0,0
1,200,90,5.41E-22
1,4000,40,4.82E-20
1,600,50,1.35E-21
1,27500,70,1.71E-21
1,20000,40,1.17E-19
1,700,10,0
1,35800,20,1.10E-22
