ShieldingThickness[cm],Altitude[km],Inclination[deg],MaxCurrentIncident[A/cm^2]
0.8,1000,10,9.29E-24
0.8,1100,50,1.27E-19
0.8,900,90,1.05E-19
0.8,22500,20,1.13E-17
0.8,25000,10,8.12E-18
0.8,35800,0,7.82E-19
0.8,1500,90,2.19E-19
0.8,2500,50,5.68E-19
0.8,35800,40,2.19E-19
0.8,5000,60,2.44E-18
0.8,500,80,4.77E-20
0.8,12500,80,2.38E-17
0.8,8000,90,4.98E-18
0.8,1900,80,3.26E-19
0.8,4000,20,1.95E-20
0.8,3000,90,6.28E-19
0.8,600,30,1.98E-24
0.8,700,70,1.08E-19
0.8,20000,20,2.00E-17
0.8,27500,10,4.65E-18
0.8,25000,40,3.33E-18
0.8,22500,70,3.78E-18
0.8,1400,80,2.11E-19
0.8,3000,0,4.37E-20
0.8,800,80,9.54E-20
0.8,1000,40,3.97E-21
0.8,1600,70,3.29E-19
0.8,1700,30,3.07E-21
0.8,1800,0,5.43E-21
0.8,600,60,8.05E-20
0.8,27500,40,1.86E-18
0.8,9000,80,7.32E-18
0.8,700,20,0
0.8,20000,70,6.76E-18
0.8,4000,70,1.23E-18
0.8,1800,90,2.88E-19
0.8,2000,80,3.53E-19
0.8,5000,30,5.08E-19
0.8,35800,10,6.81E-19
0.8,400,90,3.39E-20
0.8,22500,0,1.56E-17
0.8,1800,20,4.88E-21
0.8,8000,70,5.52E-18
0.8,1900,60,4.98E-19
0.8,2000,30,7.31E-21
0.8,5000,80,1.61E-18
0.8,400,20,0
0.8,12500,60,2.77E-17
0.8,500,60,6.25E-20
0.8,15000,50,2.78E-17
0.8,3000,70,7.80E-19
0.8,30000,40,1.03E-18
0.8,9000,30,1.26E-17
0.8,700,90,7.24E-20
0.8,200,10,0
0.8,300,50,1.40E-20
0.8,1300,40,2.60E-20
0.8,10000,60,1.23E-17
0.8,17500,50,1.54E-17
0.8,1700,80,2.78E-19
0.8,1400,30,9.93E-22
0.8,6000,40,3.36E-18
0.8,1500,70,3.04E-19
0.8,800,30,1.72E-23
0.8,900,70,1.52E-19
0.8,200,40,0
0.8,800,0,0
0.8,4000,90,1.02E-18
0.8,3000,20,2.74E-20
0.8,600,80,6.11E-20
0.8,20000,90,6.31E-18
0.8,9000,60,9.11E-18
0.8,30000,10,2.63E-18
0.8,400,70,4.65E-20
0.8,500,30,3.71E-26
0.8,12500,30,5.60E-17
0.8,8000,20,2.03E-18
0.8,1800,70,3.82E-19
0.8,2000,60,5.44E-19
0.8,1900,30,5.63E-21
0.8,800,60,1.20E-19
0.8,900,20,1.24E-23
0.8,1400,60,3.06E-19
0.8,22500,90,3.53E-18
0.8,1500,20,1.31E-21
0.8,6000,10,6.02E-22
0.8,1600,90,2.41E-19
0.8,10000,30,2.02E-17
0.8,1200,50,1.56E-19
0.8,25000,0,8.85E-18
0.8,7000,50,6.56E-18
0.8,1300,10,1.56E-22
0.8,1400,90,1.98E-19
0.8,22500,60,4.14E-18
0.8,25000,50,2.66E-18
0.8,1100,10,2.12E-23
0.8,1000,50,1.06E-19
0.8,800,90,8.85E-20
0.8,1700,20,3.31E-21
0.8,1600,60,3.78E-19
0.8,700,30,6.63E-24
0.8,20000,60,7.41E-18
0.8,9000,90,7.16E-18
0.8,27500,50,1.49E-18
0.8,1300,0,1.25E-22
0.8,600,70,8.31E-20
0.8,4000,60,1.73E-18
0.8,2000,90,3.33E-19
0.8,1800,80,3.02E-19
0.8,2500,10,2.77E-20
0.8,400,80,3.63E-20
0.8,5000,20,4.95E-21
0.8,1700,70,3.54E-19
0.8,10000,90,9.89E-18
0.8,1600,30,2.23E-21
0.8,900,80,1.12E-19
0.8,1700,0,3.57E-21
0.8,1100,40,9.02E-21
0.8,400,0,0
0.8,1500,80,2.31E-19
0.8,22500,30,8.19E-18
0.8,2000,0,1.05E-20
0.8,12500,90,2.34E-17
0.8,500,90,4.48E-20
0.8,5000,70,1.81E-18
0.8,35800,50,1.81E-19
0.8,2500,40,3.37E-19
0.8,1900,90,3.13E-19
0.8,8000,80,5.13E-18
0.8,4000,30,4.04E-20
0.8,700,60,1.00E-19
0.8,20000,30,1.47E-17
0.8,600,20,0
0.8,3000,80,6.55E-19
0.8,1300,80,1.87E-19
0.8,4000,0,3.30E-20
0.8,1700,40,8.88E-20
0.8,17500,90,1.13E-17
0.8,6000,80,2.39E-18
0.8,1900,0,7.53E-21
0.8,25000,30,4.58E-18
0.8,12500,0,6.82E-17
0.8,1100,70,1.97E-19
0.8,1000,30,1.01E-22
0.8,15000,90,2.04E-17
0.8,35800,60,1.59E-19
0.8,5000,40,1.98E-18
0.8,2500,70,6.04E-19
0.8,30000,80,6.26E-19
0.8,27500,30,2.57E-18
0.8,700,50,5.68E-20
0.8,600,10,0
0.8,300,90,2.50E-20
0.8,1100,20,6.04E-23
0.8,30000,0,2.90E-18
0.8,1000,60,1.74E-19
0.8,22500,50,4.78E-18
0.8,25000,60,2.31E-18
0.8,1700,10,3.50E-21
0.8,1600,50,2.45E-19
0.8,1200,90,1.59E-19
0.8,7000,90,3.37E-18
0.8,15000,0,8.37E-17
0.8,4000,50,1.49E-18
0.8,200,80,2.05E-20
0.8,20000,50,8.57E-18
0.8,27500,60,1.30E-18
0.8,9000,0,3.60E-22
0.8,600,40,1.53E-23
0.8,2500,20,2.16E-20
0.8,5000,10,7.78E-21
0.8,35800,30,3.00E-19
0.8,3000,10,3.72E-20
0.8,600,0,0
0.8,9000,50,1.20E-17
0.8,30000,20,2.03E-18
0.8,27500,90,1.11E-18
0.8,200,70,2.68E-20
0.8,1500,0,8.56E-22
0.8,300,30,0
0.8,8000,10,2.88E-21
0.8,1800,40,1.15E-19
0.8,2000,50,3.69E-19
0.8,400,40,5.72E-25
0.8,15000,30,4.74E-17
0.8,1400,50,1.93E-19
0.8,25000,90,1.97E-18
0.8,1500,10,9.32E-22
0.8,6000,20,4.06E-21
0.8,1000,90,1.22E-19
0.8,800,50,7.17E-20
0.8,900,10,1.78E-24
0.8,1200,60,2.31E-19
0.8,7000,60,4.61E-18
0.8,1300,20,4.16E-22
0.8,17500,30,2.63E-17
0.8,35800,90,1.39E-19
0.8,400,10,0
0.8,2500,80,4.88E-19
0.8,12500,50,3.26E-17
0.8,500,50,3.11E-20
0.8,15000,60,2.40E-17
0.8,1800,10,5.34E-21
0.8,8000,40,9.61E-18
0.8,1900,50,3.41E-19
0.8,200,20,0
0.8,300,60,3.54E-20
0.8,3000,40,5.48E-19
0.8,30000,70,6.58E-19
0.8,10000,50,1.55E-17
0.8,17500,60,1.33E-17
0.8,7000,30,4.17E-18
0.8,1200,30,4.00E-22
0.8,1300,70,2.46E-19
0.8,6000,0,6.87E-22
0.8,900,40,1.68E-21
0.8,1100,80,1.48E-19
0.8,200,0,0
0.8,6000,70,2.64E-18
0.8,1100,0,1.90E-23
0.8,1500,40,5.16E-20
0.8,1000,70,1.75E-19
0.8,1100,30,2.26E-22
0.8,25000,70,2.11E-18
0.8,22500,40,5.99E-18
0.8,1600,40,6.88E-20
0.8,500,0,0
0.8,7000,80,3.46E-18
0.8,1200,80,1.67E-19
0.8,1600,0,2.06E-21
0.8,5000,0,8.99E-21
0.8,200,90,1.90E-20
0.8,4000,40,1.11E-18
0.8,600,50,4.27E-20
0.8,27500,70,1.19E-18
0.8,20000,40,1.08E-17
0.8,700,10,0
0.8,35800,20,4.67E-19
0.8,2500,30,1.49E-20
0.8,27500,0,5.12E-18
0.8,1300,90,1.76E-19
0.8,1600,10,2.21E-21
0.8,17500,80,1.15E-17
0.8,20000,0,2.72E-17
0.8,1700,50,2.70E-19
0.8,22500,10,1.43E-17
0.8,25000,20,6.38E-18
0.8,6000,90,2.31E-18
0.8,1000,20,3.04E-23
0.8,1100,60,2.02E-19
0.8,2500,0,3.08E-20
0.8,2500,60,7.80E-19
0.8,1200,0,5.49E-23
0.8,5000,50,2.67E-18
0.8,35800,70,1.46E-19
0.8,15000,80,2.07E-17
0.8,8000,0,2.02E-24
0.8,20000,10,2.51E-17
0.8,700,40,1.29E-22
0.8,30000,90,6.16E-19
0.8,27500,20,3.62E-18
0.8,300,80,2.68E-20
0.8,4000,10,2.79E-20
0.8,500,40,2.20E-24
0.8,15000,70,2.18E-17
0.8,12500,40,4.20E-17
0.8,2500,90,4.72E-19
0.8,35800,80,1.40E-19
0.8,2000,10,1.07E-20
0.8,1900,40,1.38E-19
0.8,8000,50,9.06E-18
0.8,900,0,0
0.8,300,70,3.45E-20
0.8,200,30,0
0.8,9000,10,2.53E-19
0.8,30000,60,7.20E-19
0.8,3000,50,7.94E-19
0.8,17500,70,1.21E-17
0.8,10000,40,2.14E-17
0.8,1300,60,2.73E-19
0.8,1200,20,1.81E-22
0.8,7000,20,2.19E-19
0.8,1100,90,1.40E-19
0.8,900,50,8.69E-20
0.8,800,10,0
0.8,1500,50,2.17E-19
0.8,6000,60,3.36E-18
0.8,1400,10,2.98E-22
0.8,30000,30,1.42E-18
0.8,27500,80,1.13E-18
0.8,9000,40,1.57E-17
0.8,300,20,0
0.8,200,60,2.58E-20
0.8,1900,10,7.83E-21
0.8,2000,40,1.63E-19
0.8,1800,50,3.05E-19
0.8,12500,10,6.90E-17
0.8,15000,20,6.32E-17
0.8,500,10,0
0.8,400,50,2.02E-20
0.8,6000,30,1.97E-18
0.8,25000,80,2.01E-18
0.8,1400,40,3.80E-20
0.8,7000,0,1.44E-22
0.8,800,40,5.63E-22
0.8,1000,80,1.30E-19
0.8,1300,30,6.51E-22
0.8,7000,70,3.79E-18
0.8,1200,70,2.22E-19
0.8,10000,10,3.24E-18
0.8,17500,20,3.56E-17
1.35,4000,80,0
1.35,300,10,0
1.35,200,50,0
1.35,9000,70,0
1.35,20000,80,0
1.35,600,90,0
1.35,3000,30,0
1.35,12500,20,0
1.35,15000,10,0
1.35,500,20,0
1.35,400,60,0
1.35,1900,20,0
1.35,2000,70,0
1.35,1800,60,0
1.35,8000,30,0
1.35,900,30,0
1.35,800,70,0
1.35,1500,30,0
1.35,17500,0,0
1.35,22500,80,0
1.35,1400,70,0
1.35,1000,0,0
1.35,10000,20,0
1.35,1600,80,0
1.35,17500,10,0
1.35,300,0,0
1.35,7000,40,0
1.35,1200,40,0
1.35,2000,20,0
1.35,1900,70,0
1.35,1400,0,0
1.35,8000,60,0
1.35,1800,30,0
1.35,500,70,0
1.35,15000,40,0
1.35,12500,70,0
1.35,400,30,0
1.35,700,0,0
1.35,5000,90,0
1.35,700,80,0
1.35,9000,20,0
1.35,30000,50,0
1.35,10000,0,0
1.35,3000,60,0
1.35,300,40,0
1.35,1300,50,0
1.35,1200,10,0
1.35,7000,10,0
1.35,1700,90,0
1.35,17500,40,0
1.35,10000,70,0
1.35,1500,60,0
1.35,6000,50,0
1.35,1400,20,0
1.35,900,60,0
1.35,800,20,0
1.35,1600,20,0
1.35,10000,80,0
1.35,1700,60,0
1.35,1000,10,0
1.35,1100,50,0
1.35,900,90,0
1.35,22500,20,0
1.35,25000,10,0
1.35,35800,0,0
1.35,1500,90,0
1.35,2500,50,0
1.35,35800,40,0
1.35,5000,60,0
1.35,500,80,0
1.35,12500,80,0
1.35,8000,90,0
1.35,1900,80,0
1.35,4000,20,0
1.35,3000,90,0
1.35,600,30,0
1.35,700,70,0
1.35,20000,20,0
1.35,27500,10,0
1.35,25000,40,0
1.35,22500,70,0
1.35,1400,80,0
1.35,3000,0,0
1.35,800,80,0
1.35,1000,40,0
1.35,1600,70,0
1.35,1700,30,0
1.35,1800,0,0
1.35,600,60,0
1.35,27500,40,0
1.35,9000,80,0
1.35,700,20,0
1.35,20000,70,0
1.35,4000,70,0
1.35,1800,90,0
1.35,2000,80,0
1.35,5000,30,0
1.35,35800,10,0
1.35,400,90,0
1.35,22500,0,0
1.35,1800,20,0
1.35,8000,70,0
1.35,1900,60,0
1.35,2000,30,0
1.35,5000,80,0
1.35,400,20,0
1.35,12500,60,0
1.35,500,60,0
1.35,15000,50,0
1.35,3000,70,0
1.35,30000,40,0
1.35,9000,30,0
1.35,700,90,0
1.35,200,10,0
1.35,300,50,0
1.35,1300,40,0
1.35,10000,60,0
1.35,17500,50,0
1.35,1700,80,0
1.35,1400,30,0
1.35,6000,40,0
1.35,1500,70,0
1.35,800,30,0
1.35,900,70,0
1.35,200,40,0
1.35,800,0,0
1.35,4000,90,0
1.35,3000,20,0
1.35,600,80,0
1.35,20000,90,0
1.35,9000,60,0
1.35,30000,10,0
1.35,400,70,0
1.35,500,30,0
1.35,12500,30,0
1.35,8000,20,0
1.35,1800,70,0
1.35,2000,60,0
1.35,1900,30,0
1.35,800,60,0
1.35,900,20,0
1.35,1400,60,0
1.35,22500,90,0
1.35,1500,20,0
1.35,6000,10,0
1.35,1600,90,0
1.35,10000,30,0
1.35,1200,50,0
1.35,25000,0,0
1.35,7000,50,0
1.35,1300,10,0
1.35,1400,90,0
1.35,22500,60,0
1.35,25000,50,0
1.35,1100,10,0
1.35,1000,50,0
1.35,800,90,0
1.35,1700,20,0
1.35,1600,60,0
1.35,700,30,0
1.35,20000,60,0
1.35,9000,90,0
1.35,27500,50,0
1.35,1300,0,0
1.35,600,70,0
1.35,4000,60,0
1.35,2000,90,0
1.35,1800,80,0
1.35,2500,10,0
1.35,400,80,0
1.35,5000,20,0
1.35,1700,70,0
1.35,10000,90,0
1.35,1600,30,0
1.35,900,80,0
1.35,1700,0,0
1.35,1100,40,0
1.35,400,0,0
1.35,1500,80,0
1.35,22500,30,0
1.35,2000,0,0
1.35,12500,90,0
1.35,500,90,0
1.35,5000,70,0
1.35,35800,50,0
1.35,2500,40,0
1.35,1900,90,0
1.35,8000,80,0
1.35,4000,30,0
1.35,700,60,0
1.35,20000,30,0
1.35,600,20,0
1.35,3000,80,0
1.35,1300,80,0
1.35,4000,0,0
1.35,1700,40,0
1.35,17500,90,0
1.35,6000,80,0
1.35,1900,0,0
1.35,25000,30,0
1.35,12500,0,0
1.35,1100,70,0
1.35,1000,30,0
1.35,15000,90,0
1.35,35800,60,0
1.35,5000,40,0
1.35,2500,70,0
1.35,30000,80,0
1.35,27500,30,0
1.35,700,50,0
1.35,600,10,0
1.35,300,90,0
1.35,1100,20,0
1.35,30000,0,0
1.35,1000,60,0
1.35,22500,50,0
1.35,25000,60,0
1.35,1700,10,0
1.35,1600,50,0
1.35,1200,90,0
1.35,7000,90,0
1.35,15000,0,0
1.35,4000,50,0
1.35,200,80,0
1.35,20000,50,0
1.35,27500,60,0
1.35,9000,0,0
1.35,600,40,0
1.35,2500,20,0
1.35,5000,10,0
1.35,35800,30,0
1.35,3000,10,0
1.35,600,0,0
1.35,9000,50,0
1.35,30000,20,0
1.35,27500,90,0
1.35,200,70,0
1.35,1500,0,0
1.35,300,30,0
1.35,8000,10,0
1.35,1800,40,0
1.35,2000,50,0
1.35,400,40,0
1.35,15000,30,0
1.35,1400,50,0
1.35,25000,90,0
1.35,1500,10,0
1.35,6000,20,0
1.35,1000,90,0
1.35,800,50,0
1.35,900,10,0
1.35,1200,60,0
1.35,7000,60,0
1.35,1300,20,0
1.35,17500,30,0
1.35,35800,90,0
1.35,400,10,0
1.35,2500,80,0
1.35,12500,50,0
1.35,500,50,0
1.35,15000,60,0
1.35,1800,10,0
1.35,8000,40,0
1.35,1900,50,0
1.35,200,20,0
1.35,300,60,0
1.35,3000,40,0
1.35,30000,70,0
1.35,10000,50,0
1.35,17500,60,0
1.35,7000,30,0
1.35,1200,30,0
1.35,1300,70,0
1.35,6000,0,0
1.35,900,40,0
1.35,1100,80,0
1.35,200,0,0
1.35,6000,70,0
1.35,1100,0,0
1.35,1500,40,0
1.35,1000,70,0
1.35,1100,30,0
1.35,25000,70,0
1.35,22500,40,0
1.35,1600,40,0
1.35,500,0,0
1.35,7000,80,0
1.35,1200,80,0
1.35,1600,0,0
1.35,5000,0,0
1.35,200,90,0
1.35,4000,40,0
1.35,600,50,0
1.35,27500,70,0
1.35,20000,40,0
1.35,700,10,0
1.35,35800,20,0
1.35,2500,30,0
1.35,27500,0,0
1.35,1300,90,0
1.35,1600,10,0
1.35,17500,80,0
1.35,20000,0,0
1.35,1700,50,0
1.35,22500,10,0
1.35,25000,20,0
1.35,6000,90,0
1.35,1000,20,0
1.35,1100,60,0
1.35,2500,0,0
1.35,2500,60,0
1.35,1200,0,0
1.35,5000,50,0
1.35,35800,70,0
1.35,15000,80,0
1.35,8000,0,0
1.35,20000,10,0
1.35,700,40,0
1.35,30000,90,0
1.35,27500,20,0
1.35,300,80,0
1.35,4000,10,0
1.35,500,40,0
1.35,15000,70,0
1.35,12500,40,0
1.35,2500,90,0
1.35,35800,80,0
1.35,2000,10,0
1.35,1900,40,0
1.35,8000,50,0
1.35,900,0,0
1.35,300,70,0
1.35,200,30,0
1.35,9000,10,0
1.35,30000,60,0
1.35,3000,50,0
1.35,17500,70,0
1.35,10000,40,0
1.35,1300,60,0
1.35,1200,20,0
1.35,7000,20,0
1.35,1100,90,0
1.35,900,50,0
1.35,800,10,0
1.35,1500,50,0
1.35,6000,60,0
1.35,1400,10,0
1.35,30000,30,0
1.35,27500,80,0
1.35,9000,40,0
1.35,300,20,0
1.35,200,60,0
1.35,1900,10,0
1.35,2000,40,0
1.35,1800,50,0
1.35,12500,10,0
1.35,15000,20,0
1.35,500,10,0
1.35,400,50,0
1.35,6000,30,0
1.35,25000,80,0
1.35,1400,40,0
1.35,7000,0,0
1.35,800,40,0
1.35,1000,80,0
1.35,1300,30,0
1.35,7000,70,0
1.35,1200,70,0
1.35,10000,10,0
1.35,17500,20,0
1.25,4000,80,1.43E-22
1.25,300,10,0
1.25,200,50,0
1.25,9000,70,1.90E-21
1.25,20000,80,0
1.25,600,90,0
1.25,3000,30,0
1.25,12500,20,2.31E-20
1.25,15000,10,1.49E-20
1.25,500,20,0
1.25,400,60,0
1.25,1900,20,0
1.25,2000,70,2.70E-23
1.25,1800,60,2.18E-23
1.25,8000,30,2.04E-21
1.25,900,30,0
1.25,800,70,7.05E-25
1.25,1500,30,0
1.25,17500,0,2.36E-21
1.25,22500,80,0
1.25,1400,70,6.10E-24
1.25,1000,0,0
1.25,10000,20,4.95E-21
1.25,1600,80,8.09E-24
1.25,17500,10,1.96E-21
1.25,300,0,0
1.25,7000,40,1.26E-21
1.25,1200,40,0
1.25,2000,20,0
1.25,1900,70,2.42E-23
1.25,1400,0,0
1.25,8000,60,1.43E-21
1.25,1800,30,0
1.25,500,70,0
1.25,15000,40,5.03E-21
1.25,12500,70,7.69E-21
1.25,400,30,0
1.25,700,0,0
1.25,5000,90,2.34E-22
1.25,700,80,1.73E-25
1.25,9000,20,2.55E-21
1.25,30000,50,0
1.25,10000,0,0
1.25,3000,60,1.28E-22
1.25,300,40,0
1.25,1300,50,4.38E-24
1.25,1200,10,0
1.25,7000,10,0
1.25,1700,90,1.25E-23
1.25,17500,40,6.08E-22
1.25,10000,70,2.73E-21
1.25,1500,60,8.88E-24
1.25,6000,50,8.89E-22
1.25,1400,20,0
1.25,900,60,2.06E-24
1.25,800,20,0
1.25,1600,20,0
1.25,10000,80,2.55E-21
1.25,1700,60,1.63E-23
1.25,1000,10,0
1.25,1100,50,2.25E-24
1.25,900,90,7.99E-25
1.25,22500,20,0
1.25,25000,10,0
1.25,35800,0,0
1.25,1500,90,6.27E-24
1.25,2500,50,6.02E-23
1.25,35800,40,0
1.25,5000,60,3.42E-22
1.25,500,80,0
1.25,12500,80,7.29E-21
1.25,8000,90,1.13E-21
1.25,1900,80,1.75E-23
1.25,4000,20,0
1.25,3000,90,7.35E-23
1.25,600,30,0
1.25,700,70,0
1.25,20000,20,0
1.25,27500,10,0
1.25,25000,40,0
1.25,22500,70,0
1.25,1400,80,5.46E-24
1.25,3000,0,0
1.25,800,80,6.41E-25
1.25,1000,40,0
1.25,1600,70,1.00E-23
1.25,1700,30,0
1.25,1800,0,0
1.25,600,60,0
1.25,27500,40,0
1.25,9000,80,1.78E-21
1.25,700,20,0
1.25,20000,70,0
1.25,4000,70,1.63E-22
1.25,1800,90,1.48E-23
1.25,2000,80,2.30E-23
1.25,5000,30,1.40E-22
1.25,35800,10,0
1.25,400,90,0
1.25,22500,0,0
1.25,1800,20,0
1.25,8000,70,1.23E-21
1.25,1900,60,2.83E-23
1.25,2000,30,0
1.25,5000,80,2.41E-22
1.25,400,20,0
1.25,12500,60,8.41E-21
1.25,500,60,0
1.25,15000,50,4.12E-21
1.25,3000,70,8.77E-23
1.25,30000,40,0
1.25,9000,30,3.34E-21
1.25,700,90,8.90E-26
1.25,200,10,0
1.25,300,50,0
1.25,1300,40,0
1.25,10000,60,3.04E-21
1.25,17500,50,5.01E-22
1.25,1700,80,1.16E-23
1.25,1400,30,0
1.25,6000,40,6.58E-22
1.25,1500,70,8.18E-24
1.25,800,30,0
1.25,900,70,1.37E-24
1.25,200,40,0
1.25,800,0,0
1.25,4000,90,1.40E-22
1.25,3000,20,0
1.25,600,80,0
1.25,20000,90,0
1.25,9000,60,2.15E-21
1.25,30000,10,0
1.25,400,70,0
1.25,500,30,0
1.25,12500,30,1.74E-20
1.25,8000,20,6.09E-22
1.25,1800,70,1.82E-23
1.25,2000,60,3.51E-23
1.25,1900,30,0
1.25,800,60,1.30E-24
1.25,900,20,0
1.25,1400,60,7.44E-24
1.25,22500,90,0
1.25,1500,20,0
1.25,6000,10,0
1.25,1600,90,8.92E-24
1.25,10000,30,5.52E-21
1.25,1200,50,2.74E-24
1.25,25000,0,0
1.25,7000,50,1.37E-21
1.25,1300,10,0
1.25,1400,90,4.41E-24
1.25,22500,60,0
1.25,25000,50,0
1.25,1100,10,0
1.25,1000,50,1.17E-24
1.25,800,90,2.76E-25
1.25,1700,20,0
1.25,1600,60,9.39E-24
1.25,700,30,0
1.25,20000,60,0
1.25,9000,90,1.74E-21
1.25,27500,50,0
1.25,1300,0,0
1.25,600,70,0
1.25,4000,60,2.30E-22
1.25,2000,90,2.17E-23
1.25,1800,80,1.49E-23
1.25,2500,10,0
1.25,400,80,0
1.25,5000,20,0
1.25,1700,70,1.30E-23
1.25,10000,90,2.51E-21
1.25,1600,30,0
1.25,900,80,5.39E-25
1.25,1700,0,0
1.25,1100,40,0
1.25,400,0,0
1.25,1500,80,5.85E-24
1.25,22500,30,0
1.25,2000,0,0
1.25,12500,90,7.18E-21
1.25,500,90,0
1.25,5000,70,2.66E-22
1.25,35800,50,0
1.25,2500,40,4.24E-23
1.25,1900,90,1.81E-23
1.25,8000,80,1.17E-21
1.25,4000,30,5.26E-24
1.25,700,60,5.08E-25
1.25,20000,30,0
1.25,600,20,0
1.25,3000,80,7.57E-23
1.25,1300,80,3.32E-24
1.25,4000,0,0
1.25,1700,40,1.73E-24
1.25,17500,90,3.79E-22
1.25,6000,80,4.29E-22
1.25,1900,0,0
1.25,25000,30,0
1.25,12500,0,3.06E-20
1.25,1100,70,2.83E-24
1.25,1000,30,0
1.25,15000,90,3.10E-21
1.25,35800,60,0
1.25,5000,40,3.28E-22
1.25,2500,70,5.80E-23
1.25,30000,80,0
1.25,27500,30,0
1.25,700,50,0
1.25,600,10,0
1.25,300,90,0
1.25,1100,20,0
1.25,30000,0,0
1.25,1000,60,2.13E-24
1.25,22500,50,0
1.25,25000,60,0
1.25,1700,10,0
1.25,1600,50,1.15E-23
1.25,1200,90,2.87E-24
1.25,7000,90,6.99E-22
1.25,15000,0,1.71E-20
1.25,4000,50,2.27E-22
1.25,200,80,0
1.25,20000,50,0
1.25,27500,60,0
1.25,9000,0,0
1.25,600,40,0
1.25,2500,20,0
1.25,5000,10,0
1.25,35800,30,0
1.25,3000,10,0
1.25,600,0,0
1.25,9000,50,2.72E-21
1.25,30000,20,0
1.25,27500,90,0
1.25,200,70,0
1.25,1500,0,0
1.25,300,30,0
1.25,8000,10,0
1.25,1800,40,5.00E-24
1.25,2000,50,2.71E-23
1.25,400,40,0
1.25,15000,30,6.96E-21
1.25,1400,50,4.88E-24
1.25,25000,90,0
1.25,1500,10,0
1.25,6000,20,0
1.25,1000,90,1.30E-24
1.25,800,50,4.34E-25
1.25,900,10,0
1.25,1200,60,5.07E-24
1.25,7000,60,9.14E-22
1.25,1300,20,0
1.25,17500,30,8.16E-22
1.25,35800,90,0
1.25,400,10,0
1.25,2500,80,4.67E-23
1.25,12500,50,9.70E-21
1.25,500,50,0
1.25,15000,60,3.61E-21
1.25,1800,10,0
1.25,8000,40,2.39E-21
1.25,1900,50,2.25E-23
1.25,200,20,0
1.25,300,60,0
1.25,3000,40,7.63E-23
1.25,30000,70,0
1.25,10000,50,3.70E-21
1.25,17500,60,4.40E-22
1.25,7000,30,1.08E-21
1.25,1200,30,0
1.25,1300,70,4.56E-24
1.25,6000,0,0
1.25,900,40,0
1.25,1100,80,2.06E-24
1.25,200,0,0
1.25,6000,70,4.67E-22
1.25,1100,0,0
1.25,1500,40,0
1.25,1000,70,1.71E-24
1.25,1100,30,0
1.25,25000,70,0
1.25,22500,40,0
1.25,1600,40,3.39E-25
1.25,500,0,0
1.25,7000,80,7.19E-22
1.25,1200,80,2.43E-24
1.25,1600,0,0
1.25,5000,0,0
1.25,200,90,0
1.25,4000,40,1.72E-22
1.25,600,50,0
1.25,27500,70,0
1.25,20000,40,0
1.25,700,10,0
1.25,35800,20,0
1.25,2500,30,0
1.25,27500,0,0
1.25,1300,90,2.46E-24
1.25,1600,10,0
1.25,17500,80,3.85E-22
1.25,20000,0,0
1.25,1700,50,1.18E-23
1.25,22500,10,0
1.25,25000,20,0
1.25,6000,90,4.16E-22
1.25,1000,20,0
1.25,1100,60,2.97E-24
1.25,2500,0,0
1.25,2500,60,7.59E-23
1.25,1200,0,0
1.25,5000,50,4.61E-22
1.25,35800,70,0
1.25,15000,80,3.15E-21
1.25,8000,0,0
1.25,20000,10,0
1.25,700,40,0
1.25,30000,90,0
1.25,27500,20,0
1.25,300,80,0
1.25,4000,10,0
1.25,500,40,0
1.25,15000,70,3.31E-21
1.25,12500,40,1.21E-20
1.25,2500,90,4.65E-23
1.25,35800,80,0
1.25,2000,10,0
1.25,1900,40,7.64E-24
1.25,8000,50,1.96E-21
1.25,900,0,0
1.25,300,70,0
1.25,200,30,0
1.25,9000,10,1.29E-23
1.25,30000,60,0
1.25,3000,50,1.02E-22
1.25,17500,70,4.04E-22
1.25,10000,40,5.56E-21
1.25,1300,60,5.69E-24
1.25,1200,20,0
1.25,7000,20,3.73E-23
1.25,1100,90,1.75E-24
1.25,900,50,7.31E-25
1.25,800,10,0
1.25,1500,50,8.44E-24
1.25,6000,60,5.65E-22
1.25,1400,10,0
1.25,30000,30,0
1.25,27500,80,0
1.25,9000,40,4.25E-21
1.25,300,20,0
1.25,200,60,0
1.25,1900,10,0
1.25,2000,40,1.35E-23
1.25,1800,50,1.67E-23
1.25,12500,10,2.73E-20
1.25,15000,20,1.07E-20
1.25,500,10,0
1.25,400,50,0
1.25,6000,30,5.10E-22
1.25,25000,80,0
1.25,1400,40,0
1.25,7000,0,0
1.25,800,40,0
1.25,1000,80,1.55E-24
1.25,1300,30,0
1.25,7000,70,7.80E-22
1.25,1200,70,3.41E-24
1.25,10000,10,8.66E-22
1.25,17500,20,1.35E-21
0.55,4000,80,3.89E-17
0.55,300,10,1.63E-22
0.55,200,50,2.42E-19
0.55,9000,70,2.24E-16
0.55,20000,80,3.95E-16
0.55,600,90,2.04E-18
0.55,3000,30,2.05E-17
0.55,12500,20,1.37E-15
0.55,15000,10,2.28E-15
0.55,500,20,1.86E-21
0.55,400,60,1.49E-18
0.55,1900,20,1.05E-17
0.55,2000,70,2.00E-17
0.55,1800,60,1.77E-17
0.55,8000,30,1.92E-16
0.55,900,30,1.80E-19
0.55,800,70,4.52E-18
0.55,1500,30,2.77E-18
0.55,17500,0,2.19E-15
0.55,22500,80,2.53E-16
